Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO AL CEMENT.,00:13:10,13
[D] X CENTENARIO AL CEMENT.,00:53:10,40
[D] X CENTENARIO AL CEMENT.,06:03:10,310
[D] X CENTENARIO AL CEMENT.,07:13:10,70
[G] X BELGRANO X19 A CEMENT,07:36:10,23
[D] X CENTENARIO AL CEMENT.,08:13:10,37
[G] X BELGRANO X19 A CEMENT,08:36:10,23
[D] X CENTENARIO AL CEMENT.,09:13:10,37
[G] X BELGRANO X19 A CEMENT,09:36:10,23
[D] X CENTENARIO AL CEMENT.,10:13:10,37
[G] X BELGRANO X19 A CEMENT,10:36:10,23
[D] X CENTENARIO AL CEMENT.,11:13:10,37
[G] X BELGRANO X19 A CEMENT,11:36:10,23
[D] X CENTENARIO AL CEMENT.,12:13:10,37
[G] X BELGRANO X19 A CEMENT,12:36:10,23
[D] X CENTENARIO AL CEMENT.,13:13:10,37
[G] X BELGRANO X19 A CEMENT,13:36:10,23
[D] X CENTENARIO AL CEMENT.,14:13:10,37
[G] X BELGRANO X19 A CEMENT,14:36:10,23
[D] X CENTENARIO AL CEMENT.,15:13:10,37
[G] X BELGRANO X19 A CEMENT,15:36:10,23
[D] X CENTENARIO AL CEMENT.,16:13:10,37
[G] X BELGRANO X19 A CEMENT,16:36:10,23
[D] X CENTENARIO AL CEMENT.,17:13:10,37
[G] X BELGRANO X19 A CEMENT,17:36:10,23
[D] X CENTENARIO AL CEMENT.,18:13:10,37
[G] X BELGRANO X19 A CEMENT,18:36:10,23
[D] X CENTENARIO AL CEMENT.,18:53:10,17
[D] X CENTENARIO AL CEMENT.,19:13:10,20
[G] X BELGRANO X19 A CEMENT,19:36:10,23
[D] X CENTENARIO AL CEMENT.,20:13:10,37
[G] X BELGRANO X19 A CEMENT,20:36:10,23
[D] X CENTENARIO AL CEMENT.,21:13:10,37
[G] X BELGRANO X19 A CEMENT,21:56:10,43
[D] X CENTENARIO AL CEMENT.,22:13:10,17
[G] X BELGRANO X19 A CEMENT,22:41:10,28
